TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588190175851	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000115	img__0_1588190178819876800.png
1588190175953	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000115	img__0_1588190178922197100.png
1588190176046	0.000007	0.000009	-0.154070	0.999999	0.000497	-0.000411	0.000916	img__0_1588190179015168400.png
1588190176145	0.000121	0.000155	-0.205586	0.999972	0.000960	-0.000770	0.007403	img__0_1588190179112517700.png
1588190176244	0.000458	0.000583	-0.310930	0.999823	0.001184	-0.000954	0.018730	img__0_1588190179212508100.png
1588190176346	0.001085	0.001383	-0.470913	0.999439	0.001307	-0.001044	0.033464	img__0_1588190179314163300.png
1588190176445	0.001882	0.002408	-0.622228	0.998914	0.001968	-0.014490	0.044239	img__0_1588190179413410900.png
1588190176544	0.006391	0.003918	-0.753774	0.990784	-0.003314	-0.125832	0.050026	img__0_1588190179513657500.png
1588190176646	0.029969	0.005843	-0.866842	0.977324	-0.016807	-0.204536	0.052154	img__0_1588190179615204100.png
1588190176745	0.084222	0.006893	-0.954119	0.982917	-0.015729	-0.175106	0.054450	img__0_1588190179714713600.png
1588190176850	0.182688	0.006717	-1.060941	0.994775	-0.006745	-0.084849	0.056369	img__0_1588190179817717700.png
1588190176955	0.309729	0.005870	-1.213956	0.997481	-0.002572	-0.042425	0.056792	img__0_1588190179923458700.png
1588190177063	0.450532	0.004908	-1.365206	0.998178	-0.000496	-0.021001	0.056568	img__0_1588190180027756800.png
1588190177159	0.579171	0.004147	-1.480232	0.997387	0.002361	-0.045554	0.056029	img__0_1588190180127195500.png
1588190177258	0.720217	0.004266	-1.582087	0.987116	0.009022	-0.150054	0.054804	img__0_1588190180227152300.png
1588190177360	0.891451	0.007407	-1.682270	0.993896	0.006450	-0.095738	0.054436	img__0_1588190180327809800.png
1588190177459	1.074748	0.012534	-1.764394	0.997322	0.004072	-0.049398	0.053780	img__0_1588190180427886800.png
1588190177564	1.277663	0.019135	-1.831138	0.998290	0.002790	-0.024866	0.052838	img__0_1588190180532514500.png
1588190177666	1.478977	0.026244	-1.876872	0.998569	0.002157	-0.013006	0.051829	img__0_1588190180636078100.png
1588190177768	1.682525	0.033836	-1.904200	0.997304	0.004175	-0.052945	0.050636	img__0_1588190180737075700.png
1588190177876	1.908501	0.043208	-1.912251	0.990378	0.008037	-0.129167	0.049014	img__0_1588190180842424000.png
1588190177972	2.128155	0.053662	-1.899830	0.995505	0.005650	-0.081276	0.048301	img__0_1588190180942393900.png
1588190178074	2.374849	0.067007	-1.867884	0.994637	0.081169	-0.037735	0.051822	img__0_1588190181043744700.png
1588190178176	2.627216	0.093440	-1.816467	0.988792	0.138271	-0.014268	0.054475	img__0_1588190181144585700.png
1588190178278	2.880718	0.140967	-1.744748	0.996085	0.070059	-0.007648	0.053363	img__0_1588190181246580700.png
1588190178380	3.134521	0.201353	-1.659876	0.997736	0.042290	-0.003986	0.052145	img__0_1588190181350347200.png
1588190178482	3.388122	0.274094	-1.592119	0.991944	0.115876	0.002401	0.051129	img__0_1588190181452252400.png
1588190178587	3.647036	0.374524	-1.540932	0.995880	0.075560	0.001659	0.050108	img__0_1588190181555859000.png
1588190178686	3.889645	0.484060	-1.484398	0.997925	0.041731	0.000493	0.049026	img__0_1588190181653402000.png
1588190178785	4.131267	0.602188	-1.417987	0.991906	0.117581	0.004397	0.047721	img__0_1588190181754175000.png
1588190178884	4.370143	0.747881	-1.380464	0.992981	0.108607	0.004140	0.046657	img__0_1588190181853740700.png
1588190178989	4.620925	0.927202	-1.345308	0.997845	0.047117	0.001242	0.045643	img__0_1588190181958274200.png
1588190179094	4.870514	1.116516	-1.302440	0.996856	0.065574	0.001960	0.044442	img__0_1588190182059967100.png
1588190179193	5.104183	1.311539	-1.285626	0.992003	0.118521	0.004293	0.043171	img__0_1588190182162583600.png
1588190179295	5.342928	1.532369	-1.256768	0.997154	0.062439	0.001806	0.042206	img__0_1588190182265586300.png
1588190179397	5.580395	1.765159	-1.224529	0.998107	0.045527	0.002864	0.041247	img__0_1588190182367504900.png
1588190179499	5.815418	2.012104	-1.221942	0.994769	0.087766	0.028674	0.043697	img__0_1588190182467727200.png
1588190179601	6.045576	2.273004	-1.208783	0.997985	0.043646	0.012412	0.044357	img__0_1588190182569232800.png
1588190179700	6.265827	2.534017	-1.193339	0.998720	0.023034	0.005911	0.044636	img__0_1588190182671313300.png
