TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588266446780	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000022	img__0_1588266449919726000.png
1588266446888	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000022	img__0_1588266450027880800.png
1588266446996	0.000003	0.000001	-0.148528	0.999999	0.000323	-0.001540	0.000025	img__0_1588266450134698700.png
1588266447101	0.000505	0.000097	-0.192456	0.999989	0.000860	-0.004664	0.000071	img__0_1588266450242896300.png
1588266447209	0.002704	0.000508	-0.311289	0.999980	0.001154	-0.006248	0.000160	img__0_1588266450351172400.png
1588266447320	0.007066	0.001319	-0.486964	0.999974	0.001298	-0.007020	0.000281	img__0_1588266450460241900.png
1588266447428	0.012691	0.002364	-0.641420	0.999972	0.001365	-0.007378	0.000416	img__0_1588266450567885500.png
1588266447536	0.019689	0.003663	-0.774798	0.999963	0.001428	-0.007545	-0.003769	img__0_1588266450676239900.png
1588266447644	0.028106	0.005223	-0.887837	0.998972	0.001607	-0.007590	-0.044667	img__0_1588266450785031300.png
1588266447755	0.038265	0.007071	-0.983450	0.991477	0.001684	-0.007574	-0.130053	img__0_1588266450896031600.png
1588266447870	0.050315	0.009105	-1.060493	0.968644	0.001465	-0.007536	-0.248332	img__0_1588266451009052100.png
1588266447975	0.062853	0.010900	-1.112865	0.928311	0.000981	-0.007485	-0.371728	img__0_1588266451114441900.png
1588266448077	0.076300	0.012327	-1.146916	0.868559	0.000302	-0.007402	-0.495530	img__0_1588266451217792000.png
1588266448182	0.091313	0.013192	-1.164781	0.785966	-0.000559	-0.007252	-0.618227	img__0_1588266451322673100.png
1588266448287	0.107294	0.013180	-1.164865	0.698790	-0.001612	-0.007015	-0.715291	img__0_1588266451428389600.png
1588266448398	0.124927	0.011966	-1.145809	0.627439	-0.002801	-0.006702	-0.778632	img__0_1588266451536204300.png
1588266448512	0.143471	0.009267	-1.105315	0.577167	-0.003827	-0.006350	-0.816593	img__0_1588266451651293800.png
1588266448620	0.161159	0.005265	-1.047568	0.545298	-0.004549	-0.006033	-0.838208	img__0_1588266451759644000.png
1588266448731	0.179217	-0.000524	-0.980322	0.523550	-0.005848	-0.006232	-0.851952	img__0_1588266451869653700.png
1588266448836	0.195239	-0.009528	-0.954552	0.507276	-0.074779	-0.047135	-0.857238	img__0_1588266451976865800.png
1588266448944	0.198566	-0.044227	-0.976568	0.489529	-0.162434	-0.098512	-0.851042	img__0_1588266452085693300.png
1588266449052	0.171548	-0.133996	-1.047232	0.479696	-0.183862	-0.109790	-0.850901	img__0_1588266452192690500.png
1588266449157	0.117575	-0.270114	-1.138406	0.483717	-0.092312	-0.056653	-0.868497	img__0_1588266452298792300.png
1588266449265	0.049789	-0.431872	-1.221827	0.482880	-0.044666	-0.028515	-0.874082	img__0_1588266452404953900.png
1588266449370	-0.020958	-0.598022	-1.283644	0.481496	-0.022097	-0.015014	-0.876041	img__0_1588266452512043900.png
1588266449478	-0.096040	-0.773454	-1.328472	0.480389	-0.010797	-0.008193	-0.876951	img__0_1588266452619578700.png
1588266449589	-0.174263	-0.956153	-1.355198	0.479645	-0.005261	-0.004828	-0.877434	img__0_1588266452729569700.png
1588266449694	-0.248614	-1.130118	-1.362818	0.477387	-0.002740	-0.003300	-0.878683	img__0_1588266452835830300.png
1588266449805	-0.327275	-1.314725	-1.358726	0.450315	-0.001380	-0.002551	-0.892865	img__0_1588266452945329000.png
1588266449919	-0.407951	-1.504744	-1.335891	0.380633	-0.000726	-0.002196	-0.924723	img__0_1588266453059397900.png
1588266450024	-0.482111	-1.680032	-1.297158	0.314179	-0.000532	-0.001995	-0.949361	img__0_1588266453165437900.png
1588266450132	-0.558261	-1.860558	-1.239581	0.268466	-0.000536	-0.001860	-0.963287	img__0_1588266453271601400.png
1588266450240	-0.634321	-2.041295	-1.164494	0.239182	-0.000601	-0.001775	-0.970973	img__0_1588266453380689400.png
