TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588190164031	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000142	img__0_1588190166996419700.png
1588190164127	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000142	img__0_1588190167093677700.png
1588190164223	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000142	img__0_1588190167190441600.png
1588190164322	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000142	img__0_1588190167287073800.png
1588190164421	0.000000	0.000000	-0.146997	1.000000	0.000116	-0.000078	-0.000147	img__0_1588190167386114300.png
1588190164517	0.000043	0.000056	-0.178567	1.000000	0.000772	-0.000617	-0.000378	img__0_1588190167484102700.png
1588190164616	0.000718	0.000328	-0.264202	0.999044	0.001058	-0.043699	-0.000924	img__0_1588190167583128000.png
1588190164715	0.009650	0.000695	-0.348737	0.989367	-0.010575	-0.145025	-0.003074	img__0_1588190167682335800.png
1588190164817	0.043694	-0.000898	-0.427544	0.995076	-0.011130	-0.098362	-0.004963	img__0_1588190167780990500.png
1588190164916	0.103542	-0.005594	-0.532791	0.997135	-0.005134	-0.075242	-0.005844	img__0_1588190167879215900.png
1588190165012	0.176861	-0.011272	-0.629041	0.989992	-0.002554	-0.140962	-0.006262	img__0_1588190167978400700.png
1588190165111	0.278592	-0.017811	-0.739529	0.997355	-0.000516	-0.072324	-0.007283	img__0_1588190168078731600.png
1588190165216	0.406422	-0.025075	-0.872815	0.995525	0.000042	-0.094122	-0.008399	img__0_1588190168180008600.png
1588190165312	0.535412	-0.031800	-0.976823	0.998048	0.000669	-0.061742	-0.009415	img__0_1588190168278810100.png
1588190165411	0.678315	-0.038734	-1.064847	0.999393	0.001064	-0.033219	-0.010475	img__0_1588190168377829000.png
1588190165513	0.831145	-0.045763	-1.137611	0.999785	0.001263	-0.017183	-0.011578	img__0_1588190168478105600.png
