TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588259340538	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000014	img__0_1588259340895379100.png
1588259340643	0.000080	0.000016	-0.162656	0.999995	0.000549	-0.002997	0.000029	img__0_1588259341002099500.png
1588259340754	0.001271	0.000241	-0.253887	0.999984	0.001017	-0.005515	0.000097	img__0_1588259341109977500.png
1588259340862	0.004323	0.000810	-0.401600	0.999977	0.001229	-0.006651	0.000200	img__0_1588259341220821500.png
1588259340970	0.008484	0.001584	-0.527448	0.999952	0.001372	-0.007195	-0.006580	img__0_1588259341327866700.png
1588259341078	0.014098	0.002623	-0.636964	0.998644	0.001575	-0.007423	-0.051513	img__0_1588259341435906200.png
1588259341186	0.021128	0.003882	-0.726842	0.990498	0.001645	-0.007495	-0.137312	img__0_1588259341543780000.png
1588259341291	0.029357	0.005214	-0.795833	0.969052	0.001446	-0.007502	-0.246738	img__0_1588259341650138200.png
1588259341402	0.039549	0.006529	-0.849420	0.926118	0.000940	-0.007469	-0.377160	img__0_1588259341759146400.png
1588259341504	0.050212	0.007404	-0.881373	0.865475	0.000259	-0.007392	-0.500897	img__0_1588259341863790600.png
1588259341609	0.062352	0.007687	-0.897122	0.781130	-0.000592	-0.007242	-0.624326	img__0_1588259341967419400.png
1588259341720	0.076223	0.007013	-0.894783	0.668885	-0.001587	-0.006973	-0.743332	img__0_1588259342077311500.png
1588259341831	0.090779	0.005131	-0.869443	0.546395	-0.002683	-0.006541	-0.837498	img__0_1588259342187810200.png
1588259341939	0.105215	0.001891	-0.831011	0.451160	-0.003835	-0.006011	-0.892414	img__0_1588259342297736000.png
1588259342044	0.119093	-0.002939	-0.802924	0.381180	-0.004795	-0.005475	-0.924472	img__0_1588259342403207700.png
1588259342152	0.132325	-0.010047	-0.787441	0.330016	-0.068748	-0.028102	-0.941049	img__0_1588259342509388800.png
1588259342257	0.134813	-0.026116	-0.765325	0.297632	-0.097313	-0.038990	-0.948907	img__0_1588259342615817600.png
1588259342368	0.122057	-0.055768	-0.722058	0.277112	-0.045017	-0.020400	-0.959566	img__0_1588259342726991300.png
1588259342473	0.101912	-0.090680	-0.672137	0.263712	-0.028859	-0.013097	-0.964081	img__0_1588259342832969000.png
1588259342587	0.069039	-0.136912	-0.653624	0.251313	-0.114308	-0.034166	-0.960525	img__0_1588259342945181100.png
1588259342704	0.009496	-0.200381	-0.656794	0.245617	-0.064829	-0.020251	-0.966985	img__0_1588259343062650000.png
