TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588267535537	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000605	img__0_1588267539043373900.png
1588267535633	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000605	img__0_1588267539139148600.png
1588267535732	0.000003	0.000004	-0.148611	0.999999	0.000459	-0.000367	0.000921	img__0_1588267539236140400.png
1588267535828	0.000097	0.000125	-0.191839	0.999995	0.000911	-0.000726	0.002851	img__0_1588267539334816000.png
1588267535927	0.000411	0.000523	-0.296324	0.999983	0.001161	-0.000930	0.005571	img__0_1588267539433133700.png
1588267536026	0.000968	0.001227	-0.438647	0.999989	0.001303	-0.001022	-0.004332	img__0_1588267539532346600.png
1588267536122	0.001683	0.002131	-0.571076	0.998977	0.001387	-0.001046	-0.045185	img__0_1588267539627599200.png
1588267536218	0.002569	0.003240	-0.690481	0.992991	0.001424	-0.001056	-0.118177	img__0_1588267539724682500.png
1588267536314	0.003640	0.004545	-0.795409	0.976751	0.001410	-0.001083	-0.214368	img__0_1588267539820006200.png
1588267536407	0.004870	0.005972	-0.882097	0.947144	0.001350	-0.001135	-0.320804	img__0_1588267539914583800.png
1588267536503	0.006362	0.007580	-0.956466	0.899554	0.001247	-0.001213	-0.436805	img__0_1588267540008643000.png
1588267536596	0.008041	0.009223	-1.014148	0.835964	0.001112	-0.001304	-0.548782	img__0_1588267540102254100.png
1588267536689	0.009960	0.010899	-1.057914	0.765578	0.000934	-0.001411	-0.643340	img__0_1588267540197143100.png
1588267536788	0.012271	0.012652	-1.091377	0.703517	0.000715	-0.001538	-0.710676	img__0_1588267540295443100.png
1588267536887	0.014901	0.014203	-1.132304	0.654438	-0.015144	-0.015399	-0.755807	img__0_1588267540392519200.png
1588267536983	0.016627	0.008697	-1.186854	0.610574	-0.104782	-0.090834	-0.779724	img__0_1588267540487989000.png
1588267537073	0.012964	-0.023191	-1.258271	0.575871	-0.157646	-0.131473	-0.791350	img__0_1588267540580984200.png
1588267537169	-0.002267	-0.102058	-1.354693	0.552369	-0.167106	-0.134688	-0.805495	img__0_1588267540675123200.png
1588267537262	-0.029293	-0.220472	-1.462934	0.546877	-0.092034	-0.077663	-0.828507	img__0_1588267540769362200.png
1588267537358	-0.066047	-0.372663	-1.607533	0.539686	-0.047472	-0.042135	-0.839470	img__0_1588267540863765000.png
1588267537457	-0.108961	-0.547434	-1.801281	0.534063	-0.024081	-0.022652	-0.844798	img__0_1588267540964091100.png
1588267537556	-0.154355	-0.731832	-2.043505	0.530816	-0.012332	-0.012547	-0.847305	img__0_1588267541063152400.png
1588267537655	-0.200766	-0.920868	-2.318244	0.529562	-0.006401	-0.007336	-0.848215	img__0_1588267541162055300.png
1588267537751	-0.245947	-1.105501	-2.565747	0.529729	-0.003445	-0.004706	-0.848147	img__0_1588267541257297200.png
1588267537847	-0.291110	-1.290753	-2.790625	0.526480	-0.001884	-0.003337	-0.850179	img__0_1588267541354553900.png
1588267537943	-0.336168	-1.476345	-2.993932	0.498325	-0.000998	-0.002642	-0.866986	img__0_1588267541450866400.png
1588267538042	-0.382478	-1.667945	-3.181582	0.436846	-0.000528	-0.002274	-0.899533	img__0_1588267541547955500.png
1588267538138	-0.427229	-1.853867	-3.339370	0.350499	-0.000333	-0.002061	-0.936561	img__0_1588267541642999000.png
1588267538234	-0.471866	-2.039891	-3.472332	0.254497	-0.000320	-0.001913	-0.967072	img__0_1588267541740144400.png
1588267538324	-0.513661	-2.214382	-3.580062	0.186876	-0.000430	-0.001808	-0.982382	img__0_1588267541832523100.png
1588267538426	-0.561031	-2.412232	-3.685156	0.133640	-0.000588	-0.001720	-0.991028	img__0_1588267541930655100.png
1588267538525	-0.607060	-2.604330	-3.770341	0.098661	-0.000727	-0.001655	-0.995119	img__0_1588267542032773600.png
1588267538624	-0.653179	-2.796474	-3.839338	0.074926	-0.000836	-0.001604	-0.997187	img__0_1588267542132586800.png
1588267538726	-0.700813	-2.994470	-3.893811	0.058465	-0.000919	-0.001564	-0.998288	img__0_1588267542232697500.png
1588267538825	-0.747178	-3.186661	-3.930787	0.047744	-0.000977	-0.001534	-0.998858	img__0_1588267542332060300.png
1588267538924	-0.793685	-3.378858	-3.952262	0.040523	-0.001018	-0.001512	-0.999177	img__0_1588267542431341000.png
1588267539026	-0.841758	-3.576882	-3.958275	0.035557	-0.001047	-0.001495	-0.999366	img__0_1588267542532764000.png
1588267539125	-0.888573	-3.769077	-3.948506	0.032361	-0.001066	-0.001484	-0.999475	img__0_1588267542632932500.png
1588267539224	-0.935545	-3.961265	-3.923404	0.030244	-0.001079	-0.001476	-0.999541	img__0_1588267542731476400.png
1588267539323	-0.982678	-4.153445	-3.883068	0.028859	-0.001087	-0.001470	-0.999582	img__0_1588267542831298700.png
1588267539422	-1.029972	-4.345614	-3.827655	0.027970	-0.001093	-0.001466	-0.999607	img__0_1588267542930406800.png
1588267539524	-1.078870	-4.543597	-3.755025	0.020310	-0.001088	-0.001470	-0.999792	img__0_1588267543032182200.png
1588267539623	-1.126495	-4.735742	-3.669727	-0.019807	-0.001061	-0.001487	-0.999802	img__0_1588267543131482400.png
1588267539725	-1.175728	-4.933683	-3.566936	-0.066984	-0.001076	-0.001470	-0.997752	img__0_1588267543231724300.png
1588267539827	-1.225124	-5.131582	-3.449416	-0.097923	-0.001131	-0.001426	-0.995192	img__0_1588267543332919300.png
1588267539929	-1.274685	-5.329423	-3.317616	-0.117287	-0.001189	-0.001379	-0.993096	img__0_1588267543436912200.png
1588267540037	-1.327344	-5.538827	-3.163090	-0.129430	-0.001239	-0.001337	-0.991587	img__0_1588267543543610900.png
1588267540136	-1.375816	-5.730730	-3.019158	-0.135542	-0.001273	-0.001307	-0.990770	img__0_1588267543642659600.png
1588267540238	-1.426120	-5.928512	-2.923445	-0.138570	-0.001297	-0.001286	-0.990351	img__0_1588267543746718400.png
1588267540340	-1.476810	-6.126360	-2.885373	-0.139338	-0.001313	-0.001271	-0.990243	img__0_1588267543849278700.png
1588267540445	-1.529222	-6.329964	-2.846625	-0.138504	-0.001323	-0.001262	-0.990360	img__0_1588267543952999100.png
1588267540553	-1.583324	-6.539275	-2.789035	-0.136505	-0.001327	-0.001258	-0.990638	img__0_1588267544058666100.png
1588267540655	-1.634603	-6.736855	-2.718370	-0.133913	-0.001329	-0.001256	-0.990991	img__0_1588267544163827100.png
1588267540760	-1.687576	-6.940143	-2.629426	-0.130770	-0.001328	-0.001257	-0.991411	img__0_1588267544268104100.png
1588267540862	-1.739216	-7.137512	-2.527641	-0.127415	0.000443	0.012492	-0.991771	img__0_1588267544369946700.png
1588267540964	-1.790352	-7.332135	-2.411197	-0.123323	0.011500	0.099592	-0.987290	img__0_1588267544472969700.png
1588267541069	-1.838726	-7.514909	-2.275594	-0.117865	0.023092	0.192061	-0.974006	img__0_1588267544576997000.png
1588267541174	-1.878859	-7.663980	-2.121204	-0.114783	0.018033	0.149262	-0.981947	img__0_1588267544680998000.png
1588267541276	-1.910774	-7.779466	-1.964332	-0.111850	0.008839	0.074603	-0.990881	img__0_1588267544784340100.png
1588267541378	-1.937136	-7.871293	-1.861217	-0.108140	0.004048	0.037295	-0.993428	img__0_1588267544885994400.png
1588267541486	-1.961871	-7.954170	-1.826281	-0.104007	0.001403	0.017479	-0.994422	img__0_1588267544992091100.png
1588267541579	-1.982061	-8.019785	-1.853416	-0.100402	0.000203	0.008797	-0.994908	img__0_1588267545088345700.png
1588267541684	-2.004552	-8.091664	-1.893652	-0.096315	-0.000521	0.003712	-0.995344	img__0_1588267545191130600.png
1588267541783	-2.025779	-8.158645	-1.931260	-0.092454	-0.000876	0.001287	-0.995716	img__0_1588267545290403800.png
1588267541885	-2.047879	-8.227156	-2.030673	-0.088472	-0.001067	0.000005	-0.996078	img__0_1588267545391496300.png
1588267541987	-2.070251	-8.295572	-2.164017	-0.084486	-0.001164	-0.000647	-0.996424	img__0_1588267545492776500.png
1588267542086	-2.092160	-8.362013	-2.279637	-0.080623	-0.000335	0.009847	-0.996696	img__0_1588267545595606800.png
1588267542191	-2.115012	-8.428862	-2.383678	-0.076065	0.008408	0.119779	-0.989847	img__0_1588267545699381400.png
1588267542290	-2.134001	-8.474442	-2.462976	-0.072248	0.008075	0.112029	-0.991042	img__0_1588267545796744600.png
1588267542395	-2.151282	-8.503184	-2.527374	-0.068433	0.003658	0.054637	-0.996152	img__0_1588267545901955100.png
1588267542494	-2.166240	-8.520586	-2.571289	-0.064599	0.001444	0.027729	-0.997525	img__0_1588267546001621900.png
1588267542593	-2.180635	-8.533278	-2.599510	-0.060718	0.000222	0.013680	-0.998061	img__0_1588267546100409400.png
1588267542695	-2.195266	-8.543919	-2.612407	-0.055156	-0.000446	0.006261	-0.998458	img__0_1588267546201452000.png
1588267542797	-2.209901	-8.553409	-2.608974	-0.023993	-0.000695	0.002477	-0.999709	img__0_1588267546305100400.png
1588267542896	-2.224202	-8.562168	-2.590072	0.035220	-0.000820	0.000621	-0.999379	img__0_1588267546403921700.png
1588267542992	-2.238195	-8.570558	-2.557153	0.080507	-0.000921	-0.000347	-0.996754	img__0_1588267546501608300.png
1588267543091	-2.252765	-8.579261	-2.508291	0.112322	-0.000972	-0.000896	-0.993671	img__0_1588267546598873800.png
1588267543190	-2.267474	-8.588121	-2.444477	0.133877	-0.000982	-0.001199	-0.990997	img__0_1588267546697616500.png
