TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588267215307	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000130	img__0_1588267218682449400.png
1588267215400	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	-0.000130	img__0_1588267218776487600.png
1588267215499	0.000005	-0.000029	-0.154232	0.999998	-0.001906	-0.000390	-0.000208	img__0_1588267218874094600.png
1588267215595	0.000112	-0.000578	-0.212894	0.999993	-0.003735	-0.000743	-0.000613	img__0_1588267218973547400.png
1588267215697	0.000464	-0.002354	-0.340524	0.999988	-0.004700	-0.000942	-0.001316	img__0_1588267219073515100.png
1588267215793	0.001076	-0.005440	-0.520139	0.999983	-0.005180	-0.001038	-0.002442	img__0_1588267219171786900.png
1588267215895	0.002003	-0.010117	-0.748080	0.999848	-0.005436	-0.001141	-0.016502	img__0_1588267219271858100.png
1588267215991	0.003043	-0.015389	-0.949728	0.997986	-0.005535	-0.001264	-0.063176	img__0_1588267219369277400.png
1588267216090	0.004250	-0.021675	-1.138717	0.989547	-0.005568	-0.001295	-0.144098	img__0_1588267219467411800.png
1588267216189	0.005530	-0.028838	-1.308811	0.968930	-0.005571	-0.001151	-0.247270	img__0_1588267219565559800.png
1588267216282	0.006698	-0.036373	-1.452011	0.934608	-0.005556	-0.000850	-0.355635	img__0_1588267219658535300.png
1588267216378	0.007734	-0.044948	-1.583622	0.881684	-0.005516	-0.000398	-0.471808	img__0_1588267219754250100.png
1588267216474	0.008441	-0.054270	-1.698830	0.813531	-0.005440	0.000188	-0.581496	img__0_1588267219849062200.png
1588267216570	0.008663	-0.064233	-1.797836	0.750617	-0.005328	0.000929	-0.660715	img__0_1588267219948118900.png
1588267216669	0.008241	-0.075038	-1.883204	0.701933	-0.005191	0.001688	-0.712222	img__0_1588267220047092400.png
1588267216765	0.007099	-0.085892	-1.949840	0.668693	-0.005042	0.002305	-0.743518	img__0_1588267220143337200.png
1588267216864	0.005096	-0.097348	-2.002208	0.645413	-0.004890	0.002792	-0.763813	img__0_1588267220241556200.png
1588267216960	0.002310	-0.108618	-2.037645	0.630617	-0.004758	0.003135	-0.776074	img__0_1588267220337700200.png
1588267217053	-0.001359	-0.119646	-2.071096	0.621465	-0.011185	-0.001819	-0.783360	img__0_1588267220431136500.png
1588267217149	-0.007488	-0.135440	-2.130215	0.612103	-0.090840	-0.064552	-0.782886	img__0_1588267220527219800.png
1588267217245	-0.021639	-0.177902	-2.226797	0.601254	-0.155535	-0.115088	-0.775279	img__0_1588267220621703900.png
