TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588269095839	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000010	img__0_1588269095929646900.png
1588269095929	0.000004	-0.000013	-0.150399	0.999999	-0.001119	-0.000378	0.000019	img__0_1588269096020830400.png
1588269096016	0.000087	-0.000270	-0.192543	0.999998	-0.002125	-0.000709	-0.000031	img__0_1588269096107545200.png
1588269096106	0.000337	-0.001024	-0.277799	0.999977	-0.002719	-0.000923	-0.006210	img__0_1588269096196299800.png
1588269096193	0.000706	-0.002140	-0.357933	0.999285	-0.003015	-0.001074	-0.037682	img__0_1588269096285231900.png
1588269096280	0.001196	-0.003643	-0.427393	0.995292	-0.003167	-0.001163	-0.096868	img__0_1588269096372378000.png
1588269096364	0.001776	-0.005507	-0.487578	0.984625	-0.003247	-0.001168	-0.174646	img__0_1588269096458157200.png
1588269096448	0.002430	-0.007797	-0.541318	0.964009	-0.003297	-0.001082	-0.265848	img__0_1588269096542563200.png
1588269096532	0.003105	-0.010522	-0.588704	0.931081	-0.003331	-0.000912	-0.364795	img__0_1588269096625182800.png
1588269096619	0.003757	-0.013798	-0.631168	0.882505	-0.003352	-0.000661	-0.470291	img__0_1588269096710937700.png
1588269096700	0.004247	-0.017246	-0.664697	0.823533	-0.003355	-0.000374	-0.567258	img__0_1588269096794123400.png
1588269096787	0.004575	-0.021324	-0.692151	0.747597	-0.003334	-0.000017	-0.664144	img__0_1588269096879314400.png
1588269096877	0.004627	-0.025872	-0.708234	0.673437	-0.003287	0.000429	-0.739237	img__0_1588269096969841800.png
1588269096961	0.004345	-0.030354	-0.713177	0.618537	-0.003226	0.000857	-0.785749	img__0_1588269097054525000.png
1588269097048	0.003561	-0.035207	-0.725525	0.573795	-0.003147	0.001248	-0.818992	img__0_1588269097141811900.png
1588269097138	0.002072	-0.040389	-0.763530	0.536095	-0.003060	0.001571	-0.844151	img__0_1588269097229165800.png
1588269097222	-0.000086	-0.045302	-0.839669	0.501846	-0.002983	0.001796	-0.864950	img__0_1588269097316804300.png
1588269097312	-0.003254	-0.050554	-0.967478	0.462461	-0.002902	0.001980	-0.886633	img__0_1588269097404910000.png
1588269097399	-0.007133	-0.055539	-1.132776	0.423765	-0.002815	0.002134	-0.905765	img__0_1588269097491298000.png
1588269097483	-0.011498	-0.060226	-1.311492	0.394307	-0.002712	0.002285	-0.918972	img__0_1588269097576875100.png
1588269097570	-0.016442	-0.064954	-1.485990	0.372204	-0.002605	0.002428	-0.928144	img__0_1588269097661706400.png
1588269097657	-0.021777	-0.069534	-1.644911	0.356405	-0.002509	0.002545	-0.934325	img__0_1588269097749032000.png
1588269097741	-0.027293	-0.073789	-1.784176	0.345479	-0.002432	0.002634	-0.938420	img__0_1588269097835593500.png
1588269097831	-0.033780	-0.078256	-1.918943	0.336542	-0.060324	-0.007091	-0.939708	img__0_1588269097923516300.png
1588269097918	-0.046210	-0.085612	-2.034970	0.327047	-0.157132	-0.022656	-0.931577	img__0_1588269098010451800.png
1588269098005	-0.074836	-0.101394	-2.134555	0.318870	-0.214206	-0.030777	-0.922762	img__0_1588269098098232800.png
1588269098095	-0.128215	-0.129957	-2.217765	0.312970	-0.246329	-0.035417	-0.916579	img__0_1588269098187940600.png
1588269098182	-0.206269	-0.171072	-2.277287	0.309201	-0.263209	-0.037848	-0.913063	img__0_1588269098274822900.png
1588269098263	-0.303942	-0.222030	-2.313264	0.306861	-0.272050	-0.039055	-0.911208	img__0_1588269098356813900.png
1588269098341	-0.421556	-0.282987	-2.329700	0.305327	-0.277006	-0.039648	-0.910204	img__0_1588269098434321500.png
1588269098419	-0.562692	-0.355755	-2.328009	0.304273	-0.279930	-0.039913	-0.909650	img__0_1588269098509475600.png
1588269098494	-0.720788	-0.436916	-2.309162	0.303030	-0.282198	-0.038227	-0.909437	img__0_1588269098587944200.png
1588269098572	-0.908644	-0.532719	-2.271676	0.304501	-0.237111	-0.025500	-0.922175	img__0_1588269098663260500.png
1588269098647	-1.108844	-0.633926	-2.220711	0.310576	-0.147391	-0.019020	-0.938859	img__0_1588269098740392900.png
1588269098737	-1.365227	-0.763059	-2.145831	0.312805	-0.080942	-0.011393	-0.946294	img__0_1588269098829063500.png
1588269098824	-1.623116	-0.892749	-2.065420	0.319165	-0.045261	-0.006671	-0.946594	img__0_1588269098917693900.png
1588269098911	-1.886375	-1.025077	-1.978335	0.347089	-0.025300	-0.003409	-0.937485	img__0_1588269099004009900.png
1588269098995	-2.143161	-1.154130	-1.887607	0.396789	-0.014603	-0.001634	-0.917792	img__0_1588269099089603200.png
1588269099082	-2.410664	-1.288584	-1.794875	0.466693	-0.008363	-0.000859	-0.884380	img__0_1588269099176639400.png
1588269099169	-2.678953	-1.423519	-1.707475	0.546211	-0.004809	-0.000704	-0.837634	img__0_1588269099261597700.png
1588269099253	-2.938162	-1.554040	-1.619701	0.609492	-0.002816	-0.000901	-0.792787	img__0_1588269099346285100.png
1588269099340	-3.206448	-1.689372	-1.518550	0.654342	-0.001605	-0.001186	-0.756196	img__0_1588269099432684300.png
1588269099427	-3.474352	-1.824823	-1.407002	0.684918	-0.000889	-0.001417	-0.728619	img__0_1588269099519712300.png
1588269099511	-3.732530	-1.955689	-1.289907	0.705478	-0.000467	-0.001570	-0.708730	img__0_1588269099604037700.png
1588269099595	-3.990136	-2.086646	-1.173740	0.725316	-0.000208	-0.001665	-0.688414	img__0_1588269099688037300.png
1588269099679	-4.247078	-2.217709	-1.073293	0.753145	-0.000055	-0.001719	-0.657853	img__0_1588269099771466200.png
1588269099763	-4.503308	-2.348837	-0.986276	0.777379	0.000068	-0.001749	-0.629030	img__0_1588269099855671000.png
1588269099850	-4.767691	-2.484560	-0.887775	0.793568	0.047349	-0.038194	-0.605433	img__0_1588269099943252100.png
1588269099940	-5.032816	-2.622824	-0.775278	0.797680	0.125158	-0.097436	-0.581849	img__0_1588269100032641200.png
1588269100027	-5.269197	-2.750743	-0.656079	0.804881	0.133366	-0.103476	-0.568922	img__0_1588269100121355700.png
1588269100114	-5.481747	-2.871452	-0.537793	0.819061	0.069920	-0.056834	-0.566586	img__0_1588269100207459500.png
1588269100198	-5.667523	-2.982266	-0.457130	0.825598	0.035466	-0.030568	-0.562313	img__0_1588269100292148100.png
1588269100288	-5.854775	-3.097769	-0.414990	0.830639	0.014293	-0.014170	-0.556447	img__0_1588269100381183900.png
1588269100381	-6.042788	-3.215883	-0.406550	0.838324	0.002516	-0.005025	-0.545143	img__0_1588269100474108100.png
1588269100471	-6.223304	-3.330062	-0.395413	0.844347	-0.003587	-0.000200	-0.535785	img__0_1588269100562638000.png
1588269100564	-6.409729	-3.448323	-0.370596	0.848630	-0.007007	0.002498	-0.528934	img__0_1588269100657051500.png
1588269100651	-6.584615	-3.559436	-0.338855	0.852004	-0.008766	0.003861	-0.523448	img__0_1588269100743845900.png
1588269100738	-6.760648	-3.671394	-0.323614	0.859979	-0.005058	0.001880	-0.510302	img__0_1588269100831688900.png
1588269100825	-6.935996	-3.783135	-0.324462	0.870114	0.072105	-0.042739	-0.485671	img__0_1588269100918116400.png
1588269100909	-7.094622	-3.884766	-0.334482	0.879772	0.119588	-0.070835	-0.454623	img__0_1588269101003577600.png
1588269100996	-7.245092	-3.981492	-0.334738	0.897001	0.062369	-0.040801	-0.435699	img__0_1588269101090024100.png
1588269101083	-7.386865	-4.072929	-0.322510	0.905486	0.052779	-0.032781	-0.419803	img__0_1588269101177754700.png
1588269101173	-7.523223	-4.160320	-0.310667	0.903793	0.139505	-0.069987	-0.398494	img__0_1588269101265900900.png
1588269101257	-7.629125	-4.224391	-0.317753	0.907907	0.162979	-0.089601	-0.375652	img__0_1588269101350596700.png
1588269101341	-7.711777	-4.269713	-0.336043	0.928923	0.095395	-0.061423	-0.352462	img__0_1588269101436674300.png
1588269101428	-7.782999	-4.305955	-0.353714	0.943259	0.050264	-0.036513	-0.326194	img__0_1588269101521317500.png
1588269101509	-7.843086	-4.335319	-0.359985	0.950998	0.026167	-0.021626	-0.307327	img__0_1588269101604594400.png
1588269101596	-7.904034	-4.364541	-0.355096	0.956156	0.011917	-0.012100	-0.292365	img__0_1588269101690615800.png
1588269101683	-7.962820	-4.392801	-0.338300	0.958034	-0.012199	-0.051804	-0.281671	img__0_1588269101776678900.png
1588269101770	-8.014528	-4.425405	-0.316711	0.949932	-0.061515	-0.141368	-0.271773	img__0_1588269101861528400.png
1588269101851	-8.042486	-4.472244	-0.314426	0.942435	-0.095871	-0.188947	-0.258697	img__0_1588269101944327400.png
1588269101935	-8.043133	-4.546211	-0.330094	0.949294	-0.096602	-0.176645	-0.241465	img__0_1588269102028943400.png
1588269102019	-8.017341	-4.644596	-0.363965	0.968477	-0.055806	-0.098366	-0.221953	img__0_1588269102111692300.png
1588269102106	-7.973182	-4.762474	-0.423502	0.977417	-0.032109	-0.054299	-0.201683	img__0_1588269102200897600.png
1588269102193	-7.921196	-4.887418	-0.485587	0.981838	-0.017997	-0.030433	-0.186396	img__0_1588269102287665100.png
1588269102286	-7.861833	-5.024264	-0.538842	0.984429	-0.009347	-0.016719	-0.174736	img__0_1588269102379027000.png
1588269102367	-7.808323	-5.144886	-0.573818	0.985814	-0.005020	-0.010191	-0.167459	img__0_1588269102461793000.png
1588269102454	-7.749745	-5.275187	-0.599748	0.986803	-0.002309	-0.006242	-0.161786	img__0_1588269102549060500.png
