TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588269180042	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000013	img__0_1588269180155769500.png
1588269180126	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000013	img__0_1588269180241686000.png
1588269180213	0.000000	-0.000000	-0.146621	1.000000	-0.000315	-0.000053	0.000013	img__0_1588269180328997600.png
1588269180303	0.000028	-0.000145	-0.159240	0.999992	-0.002953	-0.000580	0.002578	img__0_1588269180418891600.png
1588269180390	0.000175	-0.000877	-0.202430	0.999902	-0.004155	-0.000819	0.013348	img__0_1588269180504601600.png
1588269180480	0.000529	-0.002591	-0.285919	0.999549	-0.004861	-0.000962	0.029603	img__0_1588269180594513100.png
1588269180567	0.001104	-0.005268	-0.398377	0.999321	-0.005228	-0.001108	0.036455	img__0_1588269180682014200.png
1588269180654	0.001860	-0.008674	-0.507506	0.999817	-0.005408	-0.001294	0.018320	img__0_1588269180768729600.png
1588269180744	0.002824	-0.012912	-0.608583	0.999534	-0.005488	-0.001448	-0.029977	img__0_1588269180857539300.png
1588269180831	0.003928	-0.017758	-0.698713	0.994758	-0.005516	-0.001492	-0.102094	img__0_1588269180947066500.png
1588269180918	0.005158	-0.023371	-0.782728	0.981380	-0.005524	-0.001391	-0.191992	img__0_1588269181034242900.png
1588269181008	0.006473	-0.029989	-0.862918	0.954986	-0.005523	-0.001131	-0.296596	img__0_1588269181120808000.png
1588269181089	0.007593	-0.036642	-0.929365	0.918346	-0.005509	-0.000781	-0.395740	img__0_1588269181205653200.png
1588269181176	0.008606	-0.044492	-0.994743	0.864338	-0.005472	-0.000309	-0.502882	img__0_1588269181289596700.png
1588269181263	0.009288	-0.053001	-1.053380	0.794980	-0.005396	0.000235	-0.606612	img__0_1588269181377754100.png
1588269181347	0.009522	-0.061737	-1.101994	0.713981	-0.005275	0.000803	-0.700145	img__0_1588269181461170500.png
1588269181428	0.009268	-0.070531	-1.140333	0.626626	-0.005102	0.001387	-0.779303	img__0_1588269181545252400.png
1588269181515	0.008414	-0.080232	-1.170143	0.542887	-0.004843	0.002093	-0.839789	img__0_1588269181629693500.png
1588269181605	0.006852	-0.090386	-1.188408	0.476260	-0.004546	0.002805	-0.879288	img__0_1588269181719861600.png
1588269181695	0.004581	-0.100507	-1.193942	0.427770	-0.004242	0.003410	-0.903871	img__0_1588269181810379100.png
1588269181782	0.001705	-0.110132	-1.188222	0.393968	-0.003969	0.003869	-0.919107	img__0_1588269181897353400.png
1588269181866	-0.001877	-0.119116	-1.190132	0.370184	-0.004465	0.003913	-0.928940	img__0_1588269181983196800.png
1588269181953	-0.007127	-0.128415	-1.218524	0.350995	-0.062160	-0.017947	-0.934139	img__0_1588269182068703300.png
1588269182043	-0.023895	-0.146429	-1.276832	0.333124	-0.154571	-0.052556	-0.928641	img__0_1588269182157969400.png
1588269182130	-0.064058	-0.182830	-1.354544	0.323702	-0.164412	-0.055871	-0.930088	img__0_1588269182245940500.png
1588269182217	-0.121453	-0.232696	-1.420827	0.322170	-0.091235	-0.029002	-0.941829	img__0_1588269182332871000.png
1588269182304	-0.188702	-0.289897	-1.473189	0.321169	-0.052067	-0.014068	-0.945485	img__0_1588269182421262200.png
1588269182394	-0.264304	-0.353155	-1.514277	0.321626	-0.029697	-0.005374	-0.946386	img__0_1588269182509435400.png
1588269182481	-0.341740	-0.416721	-1.561083	0.323378	-0.017797	-0.000713	-0.946102	img__0_1588269182597272300.png
1588269182568	-0.422804	-0.481729	-1.640467	0.327098	-0.011189	0.001889	-0.944922	img__0_1588269182683832700.png
1588269182658	-0.508643	-0.549342	-1.731061	0.333157	-0.007427	0.003364	-0.942836	img__0_1588269182772493100.png
1588269182742	-0.589733	-0.612349	-1.804998	0.337466	-0.005492	0.004098	-0.941313	img__0_1588269182859417800.png
1588269182832	-0.677402	-0.679560	-1.871227	0.340784	-0.004349	0.004517	-0.940121	img__0_1588269182949289800.png
1588269182922	-0.765764	-0.746361	-1.924257	0.343151	-0.003737	0.004735	-0.939261	img__0_1588269183038775900.png
1588269183012	-0.854751	-0.812694	-1.964277	0.344981	-0.003411	0.004848	-0.938591	img__0_1588269183127349800.png
1588269183096	-0.938339	-0.874154	-1.990015	0.353994	-0.003213	0.004926	-0.935229	img__0_1588269183213706300.png
1588269183183	-1.025441	-0.937338	-2.004938	0.388046	-0.003026	0.005011	-0.921621	img__0_1588269183300344500.png
1588269183270	-1.113081	-1.000044	-2.007968	0.441235	-0.002940	0.005030	-0.898225	img__0_1588269183385009100.png
1588269183354	-1.198228	-1.060159	-1.999626	0.481939	-0.003053	0.004928	-0.876186	img__0_1588269183470209700.png
1588269183441	-1.286990	-1.122024	-1.979340	0.511469	-0.003259	0.004775	-0.859283	img__0_1588269183556573800.png
1588269183528	-1.376362	-1.183537	-1.947266	0.532129	-0.003473	0.004619	-0.846644	img__0_1588269183643724800.png
1588269183612	-1.463260	-1.242636	-1.906199	0.546399	-0.003654	0.004485	-0.837505	img__0_1588269183729588600.png
1588269183699	-1.553950	-1.303571	-1.857109	0.559410	-0.003797	0.004375	-0.828871	img__0_1588269183815118800.png
1588269183786	-1.645329	-1.364268	-1.799505	0.569611	-0.003981	0.004371	-0.821893	img__0_1588269183902412000.png
1588269183873	-1.737995	-1.424565	-1.746549	0.575638	-0.039666	0.054843	-0.814899	img__0_1588269183987713100.png
1588269183957	-1.839541	-1.478627	-1.722280	0.575904	-0.085976	0.120369	-0.804024	img__0_1588269184071984000.png
1588269184044	-1.966375	-1.527170	-1.710087	0.583805	-0.054696	0.076737	-0.806406	img__0_1588269184161771800.png
1588269184134	-2.110952	-1.572827	-1.687215	0.588582	-0.031617	0.043868	-0.806627	img__0_1588269184249538300.png
1588269184218	-2.252269	-1.613299	-1.654036	0.591215	-0.017699	0.023892	-0.805966	img__0_1588269184335837400.png
1588269184302	-2.396951	-1.652678	-1.609884	0.592883	-0.010174	0.012970	-0.805120	img__0_1588269184420134800.png
1588269184392	-2.554165	-1.694213	-1.558614	0.595203	-0.005582	0.006297	-0.803532	img__0_1588269184505821500.png
1588269184482	-2.712911	-1.735380	-1.525861	0.606636	-0.002994	0.002644	-0.794970	img__0_1588269184598675800.png
1588269184575	-2.877671	-1.777837	-1.512045	0.630139	-0.001561	0.000629	-0.776481	img__0_1588269184689692500.png
1588269184659	-3.026616	-1.816239	-1.498444	0.650392	-0.000868	-0.000396	-0.759598	img__0_1588269184773046400.png
1588269184743	-3.175474	-1.854738	-1.473973	0.664852	-0.000472	-0.000997	-0.746974	img__0_1588269184859960000.png
1588269184830	-3.329461	-1.894736	-1.437087	0.675432	-0.000229	-0.001357	-0.737421	img__0_1588269184945435300.png
1588269184914	-3.477894	-1.933498	-1.394925	0.685548	-0.000091	-0.001557	-0.728026	img__0_1588269185031153100.png
