TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588261425870	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000321	img__0_1588261427137702000.png
1588261425954	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000321	img__0_1588261427224391100.png
1588261426041	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000321	img__0_1588261427310187800.png
1588261426131	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000321	img__0_1588261427399931600.png
1588261426221	0.000003	0.000004	-0.152978	1.000000	0.000451	-0.000355	0.000530	img__0_1588261427491419200.png
1588261426311	0.000082	0.000106	-0.202050	0.999996	0.000874	-0.000702	0.002538	img__0_1588261427581203100.png
1588261426401	0.000335	0.000427	-0.299834	0.999978	0.001127	-0.000904	0.006508	img__0_1588261427669811700.png
1588261426491	0.000776	0.000985	-0.425724	0.999935	0.001263	-0.001012	0.011300	img__0_1588261427759892600.png
1588261426578	0.001331	0.001687	-0.536741	0.999890	0.001339	-0.001065	0.014723	img__0_1588261427848452100.png
1588261426671	0.002063	0.002620	-0.640686	0.999848	0.001386	-0.001093	0.017339	img__0_1588261427939413200.png
1588261426761	0.002915	0.003710	-0.727168	0.999840	0.001414	-0.001104	0.017800	img__0_1588261428031165400.png
1588261426857	0.003980	0.005080	-0.804479	0.999994	0.001447	-0.001088	-0.002851	img__0_1588261428126835500.png
1588261426941	0.005047	0.006457	-0.859718	0.998779	0.001470	-0.001065	-0.049378	img__0_1588261428210608800.png
1588261427031	0.006336	0.008113	-0.906256	0.992144	0.001471	-0.001056	-0.125090	img__0_1588261428301189100.png
1588261427115	0.007687	0.009819	-0.938027	0.977177	0.001439	-0.001074	-0.212420	img__0_1588261428384814900.png
1588261427202	0.009251	0.011729	-0.959082	0.949821	0.001372	-0.001122	-0.312788	img__0_1588261428469069100.png
1588261427286	0.010935	0.013685	-0.967506	0.917603	0.001265	-0.001212	-0.397495	img__0_1588261428557016000.png
1588261427367	0.012735	0.015648	-0.964545	0.890107	0.001137	-0.001324	-0.455749	img__0_1588261428636715800.png
1588261427454	0.014868	0.017804	-0.948892	0.866340	0.001002	-0.001439	-0.499451	img__0_1588261428725205600.png
1588261427544	0.017299	0.020055	-0.919161	0.847627	0.000879	-0.001535	-0.530589	img__0_1588261428814508200.png
1588261427628	0.019787	0.022149	-0.881413	0.834627	0.000782	-0.001604	-0.550812	img__0_1588261428897689400.png
1588261427718	0.022599	0.024301	-0.844987	0.824075	-0.023186	0.014642	-0.565816	img__0_1588261428989251000.png
1588261427802	0.021013	0.024516	-0.825051	0.814133	-0.074106	0.049686	-0.573783	img__0_1588261429072623900.png
1588261427892	0.003852	0.018823	-0.822877	0.805384	-0.104868	0.071361	-0.579022	img__0_1588261429163674700.png
1588261427979	-0.033672	0.005636	-0.837025	0.805322	-0.070944	0.047309	-0.586673	img__0_1588261429250340600.png
1588261428069	-0.088976	-0.014050	-0.869710	0.804634	-0.040668	0.026243	-0.591795	img__0_1588261429338553500.png
1588261428156	-0.151532	-0.036532	-0.921634	0.803481	-0.022299	0.013596	-0.594758	img__0_1588261429425661700.png
1588261428243	-0.218900	-0.060959	-0.993882	0.802393	-0.012364	0.006851	-0.596628	img__0_1588261429514145200.png
1588261428330	-0.288796	-0.086522	-1.086192	0.801561	-0.006716	0.003040	-0.597867	img__0_1588261429599897300.png
1588261428420	-0.362402	-0.113681	-1.201533	0.800949	-0.003482	0.000868	-0.598721	img__0_1588261429689055800.png
1588261428510	-0.436543	-0.141276	-1.332471	0.800536	-0.001704	-0.000323	-0.599281	img__0_1588261429777794100.png
1588261428594	-0.505857	-0.167283	-1.464515	0.800283	-0.000777	-0.000943	-0.599622	img__0_1588261429865412600.png
1588261428684	-0.580049	-0.195318	-1.603776	0.800113	-0.000220	-0.001316	-0.599848	img__0_1588261429953462300.png
1588261428774	-0.654084	-0.223469	-1.729037	0.800018	0.000086	-0.001521	-0.599974	img__0_1588261430042707500.png
1588261428858	-0.723000	-0.249832	-1.832801	0.799979	0.000245	-0.001628	-0.600026	img__0_1588261430129413600.png
1588261428945	-0.794166	-0.277219	-1.927269	0.799973	0.000338	-0.001691	-0.600034	img__0_1588261430217158200.png
1588261429032	-0.865102	-0.304686	-2.008832	0.799992	0.000390	-0.001726	-0.600008	img__0_1588261430301872900.png
1588261429116	-0.933368	-0.331280	-2.075598	0.800028	0.000419	-0.001745	-0.599959	img__0_1588261430386340500.png
1588261429206	-1.006258	-0.359852	-2.134302	0.800080	0.000436	-0.001757	-0.599890	img__0_1588261430475787500.png
1588261429293	-1.076470	-0.387550	-2.178623	0.800140	0.000445	-0.001763	-0.599811	img__0_1588261430564310400.png
1588261429377	-1.144027	-0.414366	-2.209962	0.800204	0.000450	-0.001766	-0.599726	img__0_1588261430649333400.png
1588261429464	-1.213753	-0.442213	-2.230656	0.800274	0.000453	-0.001768	-0.599632	img__0_1588261430734593300.png
1588261429551	-1.283231	-0.470136	-2.239445	0.800348	0.000455	-0.001769	-0.599533	img__0_1588261430822139600.png
1588261429641	-1.354844	-0.499103	-2.236113	0.800426	0.000456	-0.001770	-0.599428	img__0_1588261430910873100.png
1588261429731	-1.426176	-0.528156	-2.224413	0.800507	0.000457	-0.001770	-0.599321	img__0_1588261430999582200.png
1588261429818	-1.494848	-0.556331	-2.209913	0.800586	0.000457	-0.001770	-0.599215	img__0_1588261431089435600.png
1588261429908	-1.565595	-0.585570	-2.192226	0.800669	0.000458	-0.001770	-0.599105	img__0_1588261431179087000.png
1588261429998	-1.636054	-0.614900	-2.168900	0.800752	0.000458	-0.001770	-0.598994	img__0_1588261431268057900.png
1588261430088	-1.706237	-0.644316	-2.135741	0.800835	0.000458	-0.001770	-0.598882	img__0_1588261431359231500.png
1588261430178	-1.776156	-0.673813	-2.090271	0.800920	0.000459	-0.001770	-0.598769	img__0_1588261431448520100.png
1588261430259	-1.838855	-0.700431	-2.038785	0.800995	0.000459	-0.001770	-0.598668	img__0_1588261431530424100.png
1588261430346	-1.905959	-0.729093	-1.972499	0.801077	0.000459	-0.001770	-0.598559	img__0_1588261431617876500.png
1588261430433	-1.972815	-0.757833	-1.895028	0.801158	0.000459	-0.001770	-0.598450	img__0_1588261431703467400.png
1588261430520	-2.039422	-0.786649	-1.806600	0.801239	0.000460	-0.001770	-0.598341	img__0_1588261431791222800.png
1588261430607	-2.105779	-0.815542	-1.707486	0.801321	0.000460	-0.001770	-0.598232	img__0_1588261431877495200.png
1588261430697	-2.174151	-0.845517	-1.596766	0.801405	0.000460	-0.001770	-0.598120	img__0_1588261431967303100.png
1588261430787	-2.242229	-0.875585	-1.482664	0.801489	0.000460	-0.001770	-0.598007	img__0_1588261432059024500.png
1588261430874	-2.307742	-0.904746	-1.374080	0.801570	0.000461	-0.001770	-0.597898	img__0_1588261432145716200.png
1588261430961	-2.372939	-0.934012	-1.274707	0.801651	0.000461	-0.001770	-0.597789	img__0_1588261432232389500.png
1588261431054	-2.442268	-0.965418	-1.182890	0.801738	0.000461	-0.001770	-0.597673	img__0_1588261432325383500.png
1588261431141	-2.506783	-0.994910	-1.110487	0.801819	0.000461	-0.001770	-0.597564	img__0_1588261432411576600.png
1588261431225	-2.568764	-1.023489	-1.052660	0.801897	0.000462	-0.001770	-0.597459	img__0_1588261432496971400.png
1588261431309	-2.630450	-1.052167	-1.003474	0.801976	0.000462	-0.001769	-0.597354	img__0_1588261432582096500.png
1588261431402	-2.698424	-1.084020	-0.952807	0.802063	0.000462	-0.001769	-0.597237	img__0_1588261432670052100.png
1588261431486	-2.759543	-1.112880	-0.906436	0.802141	0.000462	-0.001769	-0.597132	img__0_1588261432758914100.png
1588261431576	-2.824755	-1.143888	-0.850557	0.802225	0.000463	-0.001769	-0.597020	img__0_1588261432848546200.png
1588261431666	-2.889704	-1.174977	-0.783175	0.802306	0.000463	-0.001769	-0.596911	img__0_1588261432934800100.png
1588261431756	-2.954389	-1.206148	-0.703804	0.802392	0.000463	-0.001769	-0.596794	img__0_1588261433026785400.png
1588261431846	-3.018812	-1.237401	-0.612695	0.802476	0.000463	-0.001769	-0.596682	img__0_1588261433119120300.png
1588261431939	-3.085096	-1.269785	-0.508996	0.802563	0.000464	-0.001769	-0.596565	img__0_1588261433211280500.png
1588261432026	-3.146796	-1.300181	-0.416763	0.802644	0.000464	-0.001769	-0.596456	img__0_1588261433296808400.png
1588261432110	-3.206055	-1.329633	-0.340951	0.802722	0.000464	-0.001769	-0.596351	img__0_1588261433381716900.png
1588261432198	-3.267092	-1.360251	-0.280414	0.802803	0.000464	-0.001769	-0.596242	img__0_1588261433466770000.png
1588261432282	-3.325692	-1.389927	-0.241140	0.802881	0.000465	-0.001769	-0.596137	img__0_1588261433552253900.png
1588261432375	-3.390189	-1.422911	-0.220111	0.802967	0.000465	-0.001769	-0.596021	img__0_1588261433644902100.png
1588261432465	-3.452220	-1.454962	-0.222542	0.803051	0.000465	-0.001769	-0.595908	img__0_1588261433735370400.png
1588261432555	-3.513873	-1.487141	-0.247891	0.803134	0.000465	-0.001769	-0.595795	img__0_1588261433824560800.png
1588261432639	-3.571075	-1.517291	-0.292134	0.803213	0.000466	-0.001769	-0.595689	img__0_1588261433910085500.png
1588261432726	-3.629976	-1.548635	-0.357853	0.803295	0.000466	-0.001768	-0.595579	img__0_1588261433997500000.png
1588261432810	-3.686553	-1.578994	-0.429119	0.803374	0.000466	-0.001768	-0.595473	img__0_1588261434080676500.png
1588261432897	-3.744908	-1.610514	-0.493214	0.803455	0.000466	-0.001768	-0.595366	img__0_1588261434166277600.png
1588261432981	-3.801024	-1.641017	-0.543405	0.803534	0.000466	-0.001768	-0.595256	img__0_1588261434251309500.png
1588261433068	-3.858910	-1.672683	-0.583440	0.803616	0.000467	-0.001768	-0.595146	img__0_1588261434340213000.png
1588261433155	-3.916557	-1.704424	-0.611445	0.803697	0.000467	-0.001768	-0.595035	img__0_1588261434427445100.png
1588261433242	-3.973964	-1.736240	-0.627509	0.803772	-0.001039	-0.003803	-0.594925	img__0_1588261434512348500.png
1588261433329	-4.030877	-1.768965	-0.631664	0.802764	-0.029321	-0.042013	-0.594092	img__0_1588261434600991000.png
1588261433419	-4.087756	-1.808608	-0.623136	0.802104	-0.038481	-0.054376	-0.593457	img__0_1588261434688969000.png
1588261433506	-4.140082	-1.854909	-0.602270	0.802726	-0.032066	-0.045705	-0.593729	img__0_1588261434778469200.png
1588261433593	-4.190149	-1.907900	-0.569202	0.803128	-0.027588	-0.039660	-0.593844	img__0_1588261434865393300.png
1588261433686	-4.241494	-1.970871	-0.520587	0.803418	-0.024365	-0.035315	-0.593868	img__0_1588261434956619800.png
1588261433776	-4.289232	-2.037410	-0.461308	0.803596	-0.022724	-0.033108	-0.593819	img__0_1588261435046200100.png
1588261433860	-4.332034	-2.104504	-0.399959	0.803722	-0.021869	-0.031963	-0.593744	img__0_1588261435132534100.png
1588261433947	-4.374563	-2.179094	-0.333290	0.803829	-0.021370	-0.031299	-0.593652	img__0_1588261435217178900.png
1588261434034	-4.415225	-2.258953	-0.266255	0.803925	-0.021091	-0.030931	-0.593551	img__0_1588261435302410900.png
1588261434118	-4.452608	-2.341345	-0.206223	0.804012	-0.020938	-0.030734	-0.593450	img__0_1588261435388255200.png
1588261434205	-4.489303	-2.432372	-0.152621	0.804097	-0.020847	-0.030620	-0.593342	img__0_1588261435476116300.png
