TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588262440876	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000013	img__0_1588262442572037700.png
1588262440960	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000013	img__0_1588262442657880000.png
1588262441050	0.000006	-0.000043	-0.154050	0.999995	-0.002696	-0.000408	0.001863	img__0_1588262442743896000.png
1588262441134	0.000087	-0.000591	-0.191982	0.999937	-0.004865	-0.000716	0.010134	img__0_1588262442830235300.png
1588262441224	0.000348	-0.002280	-0.271282	0.999671	-0.006165	-0.000903	0.024897	img__0_1588262442921592500.png
1588262441317	0.000881	-0.005549	-0.395529	0.999100	-0.006876	-0.001049	0.041847	img__0_1588262443012653200.png
1588262441404	0.001623	-0.009867	-0.528364	0.999105	-0.007225	-0.001254	0.041664	img__0_1588262443102985600.png
1588262441497	0.002638	-0.015519	-0.660788	0.999902	-0.007398	-0.001509	0.011805	img__0_1588262443193861100.png
1588262441587	0.003848	-0.022056	-0.780559	0.998943	-0.007463	-0.001663	-0.045320	img__0_1588262443284760400.png
1588262441677	0.005267	-0.029804	-0.901392	0.992060	-0.007481	-0.001645	-0.125529	img__0_1588262443373329500.png
1588262441761	0.006703	-0.038232	-1.021009	0.976433	-0.007475	-0.001447	-0.215687	img__0_1588262443459087100.png
1588262441845	0.008112	-0.047793	-1.145963	0.949115	-0.007450	-0.001077	-0.314839	img__0_1588262443541681400.png
1588262441923	0.009257	-0.057634	-1.265035	0.911752	-0.007405	-0.000601	-0.410675	img__0_1588262443621994400.png
1588262442004	0.010126	-0.068764	-1.390631	0.859972	-0.007324	-0.000001	-0.510288	img__0_1588262443702529400.png
1588262442085	0.010511	-0.080720	-1.517374	0.794894	-0.007195	0.000675	-0.606705	img__0_1588262443783479600.png
1588262442175	0.010200	-0.094805	-1.658519	0.707591	-0.006978	0.001482	-0.706586	img__0_1588262443870219900.png
1588262442262	0.009025	-0.109003	-1.793405	0.609402	-0.006683	0.002284	-0.792830	img__0_1588262443960021100.png
1588262442358	0.006646	-0.125039	-1.937574	0.492721	-0.006226	0.003194	-0.870159	img__0_1588262444054607700.png
1588262442448	0.003466	-0.140130	-2.058965	0.401233	-0.005690	0.004125	-0.915949	img__0_1588262444144526900.png
1588262442535	-0.000458	-0.154543	-2.162850	0.335165	-0.005141	0.004955	-0.942132	img__0_1588262444233440600.png
1588262442622	-0.005278	-0.168552	-2.261446	0.287724	-0.004609	0.005640	-0.957686	img__0_1588262444319712700.png
1588262442706	-0.010870	-0.181453	-2.363768	0.258358	-0.004138	0.006162	-0.966021	img__0_1588262444404374700.png
1588262442790	-0.017365	-0.193573	-2.477463	0.244059	-0.003731	0.006554	-0.969731	img__0_1588262444488755900.png
1588262442880	-0.025279	-0.205567	-2.613784	0.244725	-0.003378	0.006853	-0.969562	img__0_1588262444577892900.png
1588262442967	-0.033819	-0.216126	-2.759454	0.260008	-0.003131	0.007041	-0.965576	img__0_1588262444663332600.png
1588262443054	-0.043079	-0.225800	-2.905059	0.278261	-0.003038	0.007123	-0.960474	img__0_1588262444751635100.png
1588262443138	-0.052585	-0.234448	-3.032887	0.291147	-0.003067	0.007133	-0.956647	img__0_1588262444836045200.png
1588262443225	-0.063023	-0.242703	-3.151539	0.300694	-0.003144	0.007111	-0.953689	img__0_1588262444921835600.png
1588262443321	-0.075263	-0.250988	-3.266755	0.308080	-0.003239	0.007076	-0.951329	img__0_1588262445020101200.png
1588262443408	-0.087029	-0.257758	-3.357334	0.312779	-0.003317	0.007045	-0.949794	img__0_1588262445105535700.png
1588262443492	-0.099052	-0.263593	-3.436366	0.316052	-0.003380	0.007018	-0.948710	img__0_1588262445190208000.png
1588262443579	-0.112383	-0.268728	-3.526319	0.318511	-0.003432	0.006995	-0.947887	img__0_1588262445277395600.png
1588262443660	-0.125636	-0.272657	-3.620210	0.320188	-0.003469	0.006978	-0.947322	img__0_1588262445357019000.png
