TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588273203895	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000010	img__0_1588273209512969700.png
1588273203979	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000010	img__0_1588273209597547100.png
1588273204063	0.000000	0.000000	-0.146496	1.000000	0.000000	0.000000	0.000010	img__0_1588273209682940100.png
1588273204150	0.000000	0.000000	-0.146828	1.000000	0.000157	-0.000929	0.000011	img__0_1588273209768655400.png
1588273204234	0.000271	0.000040	-0.164027	0.999987	0.000741	-0.005103	0.000039	img__0_1588273209853973700.png
1588273204324	0.001806	0.000262	-0.231477	0.999973	0.001041	-0.007318	0.000102	img__0_1588273209942825400.png
1588273204412	0.005088	0.000733	-0.346730	0.999963	0.001213	-0.008508	0.000185	img__0_1588273210029597700.png
1588273204502	0.010565	0.001518	-0.511482	0.999954	0.001333	-0.009189	-0.002561	img__0_1588273210119857800.png
1588273204589	0.017539	0.002515	-0.687245	0.999744	0.001485	-0.009538	-0.020446	img__0_1588273210207256600.png
1588273204679	0.026301	0.003753	-0.872037	0.998129	0.001619	-0.009712	-0.060342	img__0_1588273210297744300.png
1588273204763	0.035946	0.005062	-1.047895	0.993153	0.001637	-0.009781	-0.116398	img__0_1588273210381077000.png
1588273204853	0.047996	0.006544	-1.246185	0.981157	0.001480	-0.009799	-0.192958	img__0_1588273210471384100.png
1588273204937	0.060958	0.007855	-1.446299	0.961132	0.001152	-0.009782	-0.275913	img__0_1588273210555729800.png
1588273205021	0.075566	0.008902	-1.661965	0.930536	0.000657	-0.009732	-0.366070	img__0_1588273210638371700.png
1588273205102	0.091110	0.009459	-1.882747	0.889731	0.000041	-0.009645	-0.456383	img__0_1588273210720246500.png
1588273205183	0.107963	0.009358	-2.115314	0.837213	-0.000685	-0.009507	-0.546794	img__0_1588273210800136100.png
1588273205261	0.125278	0.008449	-2.349749	0.775600	-0.001463	-0.009314	-0.631154	img__0_1588273210880799400.png
1588273205351	0.146316	0.006218	-2.630636	0.694949	-0.002460	-0.009000	-0.718998	img__0_1588273210968090500.png
1588273205435	0.166529	0.003146	-2.882758	0.628276	-0.003547	-0.008615	-0.777935	img__0_1588273211054504800.png
1588273205522	0.187751	-0.000987	-3.124436	0.575140	-0.004656	-0.008171	-0.818001	img__0_1588273211140563100.png
1588273205609	0.209078	-0.006149	-3.347051	0.535849	-0.005604	-0.007726	-0.844260	img__0_1588273211226666700.png
1588273205696	0.230343	-0.012379	-3.551703	0.507229	-0.006356	-0.007313	-0.861757	img__0_1588273211315168800.png
1588273205786	0.252130	-0.019970	-3.745526	0.485977	-0.006942	-0.006940	-0.873917	img__0_1588273211403387200.png
1588273205873	0.272877	-0.028421	-3.916446	0.471336	-0.007356	-0.006639	-0.881898	img__0_1588273211489993700.png
1588273205957	0.292536	-0.037621	-4.066821	0.461191	-0.007647	-0.006403	-0.887245	img__0_1588273211575043800.png
1588273206041	0.311770	-0.047839	-4.203372	0.453892	-0.007857	-0.006215	-0.891000	img__0_1588273211659483900.png
1588273206125	0.330537	-0.059073	-4.326594	0.448658	-0.008007	-0.006069	-0.893647	img__0_1588273211743277200.png
1588273206209	0.348803	-0.071320	-4.436917	0.444917	-0.008114	-0.005957	-0.895515	img__0_1588273211826800700.png
1588273206293	0.366491	-0.084651	-4.534711	0.441945	-0.031891	-0.017576	-0.896303	img__0_1588273211911132700.png
1588273206383	0.382254	-0.103421	-4.625622	0.436306	-0.116518	-0.059145	-0.890260	img__0_1588273212000300900.png
1588273206470	0.388314	-0.133763	-4.698505	0.431350	-0.161978	-0.081293	-0.883794	img__0_1588273212086156200.png
1588273206551	0.382282	-0.177325	-4.751595	0.428921	-0.177852	-0.088831	-0.881195	img__0_1588273212168907100.png
1588273206632	0.363610	-0.237354	-4.789707	0.427310	-0.187244	-0.093150	-0.879584	img__0_1588273212251025500.png
1588273206716	0.330143	-0.317892	-4.812991	0.426253	-0.192826	-0.095604	-0.878628	img__0_1588273212334206000.png
1588273206797	0.283846	-0.413667	-4.819565	0.425621	-0.195923	-0.096890	-0.878108	img__0_1588273212416293000.png
1588273206881	0.221037	-0.532045	-4.809803	0.425225	-0.197785	-0.097611	-0.877802	img__0_1588273212500947800.png
1588273206965	0.143017	-0.669969	-4.783126	0.425002	-0.198854	-0.097991	-0.877626	img__0_1588273212582898100.png
1588273207046	0.053310	-0.821537	-4.741390	0.425086	-0.197749	-0.097360	-0.877906	img__0_1588273212666271700.png
1588273207130	-0.054244	-0.997346	-4.681931	0.431080	-0.132904	-0.065903	-0.890035	img__0_1588273212749249000.png
1588273207217	-0.176965	-1.194031	-4.605669	0.434467	-0.075526	-0.038116	-0.896706	img__0_1588273212836181800.png
1588273207301	-0.301635	-1.392015	-4.520059	0.435628	-0.043022	-0.022385	-0.898819	img__0_1588273212919445600.png
1588273207385	-0.429628	-1.594462	-4.423702	0.436077	-0.024554	-0.013452	-0.899474	img__0_1588273213003810100.png
1588273207475	-0.568706	-1.814119	-4.309224	0.436306	-0.013553	-0.008133	-0.899659	img__0_1588273213092404600.png
1588273207568	-0.713431	-2.042697	-4.179291	0.436462	-0.007419	-0.005169	-0.899677	img__0_1588273213185594800.png
1588273207652	-0.844503	-2.249879	-4.052193	0.436523	-0.008246	0.004264	-0.899645	img__0_1588273213270025300.png
1588273207736	-0.977144	-2.456211	-3.916169	0.434110	-0.046218	0.086939	-0.895463	img__0_1588273213354520300.png
1588273207817	-1.113225	-2.648804	-3.775830	0.429319	-0.078493	0.155974	-0.886113	img__0_1588273213437483900.png
1588273207904	-1.276017	-2.842477	-3.612611	0.426032	-0.103805	0.196865	-0.876907	img__0_1588273213521732400.png
1588273207988	-1.454105	-3.013516	-3.440350	0.424712	-0.115806	0.212902	-0.872285	img__0_1588273213606832600.png
1588273208075	-1.661786	-3.173439	-3.245816	0.431462	-0.077724	0.145283	-0.886957	img__0_1588273213693365700.png
1588273208162	-1.887085	-3.320080	-3.038826	0.435674	-0.044291	0.081725	-0.895292	img__0_1588273213780242300.png
1588273208249	-2.122543	-3.458924	-2.823313	0.437097	-0.024877	0.044789	-0.897954	img__0_1588273213868116400.png
1588273208333	-2.355253	-3.588725	-2.608871	0.437584	-0.014412	0.024901	-0.898717	img__0_1588273213951871100.png
1588273208417	-2.590834	-3.716116	-2.389063	0.437805	-0.008395	0.013452	-0.898930	img__0_1588273214034981700.png
1588273208498	-2.819424	-3.837619	-2.172544	0.437886	-0.000125	0.009505	-0.898980	img__0_1588273214117851000.png
1588273208585	-3.064428	-3.965660	-1.935780	0.435271	0.085000	0.046020	-0.895096	img__0_1588273214203141000.png
1588273208666	-3.285670	-4.075315	-1.712500	0.430102	0.156518	0.078122	-0.885670	img__0_1588273214284217500.png
1588273208744	-3.486182	-4.164698	-1.494188	0.425973	0.196783	0.096139	-0.877827	img__0_1588273214364920100.png
1588273208825	-3.677079	-4.235512	-1.264162	0.423071	0.221062	0.106979	-0.872180	img__0_1588273214442375900.png
1588273208897	-3.829958	-4.277269	-1.056202	0.421471	0.233602	0.112567	-0.868977	img__0_1588273214517356700.png
1588273208954	-3.939377	-4.295743	-0.888702	0.426371	0.191882	0.092081	-0.879153	img__0_1588273214574767700.png
1588273209026	-4.065477	-4.303939	-0.675117	0.432662	0.117089	0.055583	-0.892191	img__0_1588273214643362500.png
1588273209104	-4.191963	-4.300303	-0.445307	0.435160	0.067387	0.031321	-0.897281	img__0_1588273214723441900.png
