TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1588273544367	0.000031	0.000040	-0.162192	1.000000	0.000741	-0.000583	0.000041	img__0_1588273550087686000.png
1588273544451	0.000183	0.000232	-0.217983	0.999996	0.001031	-0.000824	-0.002573	img__0_1588273550171637200.png
1588273544535	0.000470	0.000594	-0.289474	0.999788	0.001215	-0.000953	-0.020524	img__0_1588273550258034500.png
1588273544625	0.000925	0.001159	-0.364627	0.997917	0.001328	-0.001017	-0.064489	img__0_1588273550346164400.png
1588273544709	0.001511	0.001872	-0.437109	0.991990	0.001376	-0.001052	-0.126302	img__0_1588273550431400600.png
1588273544793	0.002289	0.002777	-0.518793	0.978904	0.001380	-0.001088	-0.204311	img__0_1588273550514241700.png
1588273544874	0.003246	0.003826	-0.609598	0.956664	0.001346	-0.001133	-0.291188	img__0_1588273550596677700.png
1588273544958	0.004461	0.005058	-0.711470	0.921357	0.001277	-0.001194	-0.388713	img__0_1588273550678689800.png
1588273545036	0.005801	0.006299	-0.810580	0.876269	0.001185	-0.001262	-0.481819	img__0_1588273550758047700.png
1588273545117	0.007417	0.007646	-0.917826	0.816483	0.001064	-0.001339	-0.577367	img__0_1588273550838383700.png
1588273545201	0.009341	0.009058	-1.033654	0.740758	0.000917	-0.001419	-0.671770	img__0_1588273550924065200.png
1588273545294	0.011776	0.010568	-1.173533	0.643610	0.000727	-0.001502	-0.765352	img__0_1588273551015061500.png
1588273545378	0.014240	0.011822	-1.313118	0.557761	0.000525	-0.001572	-0.830000	img__0_1588273551099622000.png
1588273545465	0.016990	0.012970	-1.460043	0.480331	0.000305	-0.001638	-0.877086	img__0_1588273551186760400.png
1588273545552	0.019913	0.013910	-1.613953	0.415978	0.000097	-0.001687	-0.909373	img__0_1588273551274699700.png
1588273545639	0.022974	0.014592	-1.780603	0.364210	-0.000088	-0.001716	-0.931315	img__0_1588273551358892000.png
1588273545723	0.026026	0.014967	-1.958501	0.324886	-0.000241	-0.001727	-0.945752	img__0_1588273551445563600.png
1588273545807	0.029140	0.015034	-2.157167	0.294465	-0.000370	-0.001728	-0.955661	img__0_1588273551529222000.png
1588273545894	0.032396	0.014767	-2.385876	0.271922	-0.000480	-0.001720	-0.962318	img__0_1588273551615028200.png
1588273545981	0.035655	0.014177	-2.631060	0.261336	-0.000573	-0.001707	-0.965246	img__0_1588273551701580400.png
1588273546071	0.039007	0.013231	-2.899756	0.263408	-0.000649	-0.001692	-0.964683	img__0_1588273551791455600.png
1588273546155	0.042105	0.012030	-3.167213	0.275417	-0.000697	-0.001681	-0.961323	img__0_1588273551875514900.png
1588273546242	0.045276	0.010453	-3.463374	0.294176	-0.000722	-0.001675	-0.955750	img__0_1588273551962748300.png
1588273546326	0.048310	0.008675	-3.749341	0.309542	-0.000717	-0.001679	-0.950884	img__0_1588273552047384600.png
1588273546407	0.051207	0.006780	-4.006704	0.320295	-0.009951	-0.004801	-0.947253	img__0_1588273552130293100.png
1588273546494	0.052470	0.003162	-4.262479	0.326164	-0.110643	-0.035166	-0.938157	img__0_1588273552217056800.png
1588273546578	0.044772	-0.007029	-4.489454	0.327910	-0.180572	-0.054089	-0.925712	img__0_1588273552301083600.png
1588273546665	0.020864	-0.029241	-4.702956	0.333227	-0.152705	-0.041349	-0.929479	img__0_1588273552387727500.png
1588273546749	-0.016493	-0.060713	-4.889508	0.338160	-0.090398	-0.017895	-0.936566	img__0_1588273552470298200.png
1588273546836	-0.064375	-0.098919	-5.065182	0.340868	-0.053038	-0.003967	-0.938606	img__0_1588273552559484800.png
